Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,AAPL,,,,16.16,0.56,0.83,0.48,-33.36,0.2827,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,AAPL,,,,0,0,0,0,0,0,0,0,-0.0496,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,AAPL,,,,9.26,0.37,0.51,0.31,-30.22,0.2159,35.71,28,-0.0382,Open Strategy Plot,Open Portfolio Plot
ema,AAPL,,,,0.75,-0.01,-0.01,0.02,-38.33,0.2141,30,10,-0.0657,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,1,FS_1,14.61,0.55,0.77,0.47,-30.9,0.2426,38.24,34,-0.0245,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,2,FS_2,12.63,0.53,0.74,0.45,-28.26,0.2025,25,16,-0.0264,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,3,FS_3,-5.88,-0.39,-0.5,-0.14,-43.28,0.1906,18.09,94,-0.0799,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,4,FS_4,0.63,-0.04,-0.06,0.02,-37.35,0.1897,18.75,80,-0.0596,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,5,FS_5,8.55,0.38,0.61,0.41,-20.73,0.1701,30.85,94,-0.0352,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,6,FS_6,3.18,0.02,0.04,0.42,-7.64,0.0678,50,4,-0.0434,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,7,FS_7,16.4,0.57,0.83,0.49,-33.36,0.2772,50,8,-0.0365,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,8,FS_8,-4.25,-0.46,-0.63,-0.1,-42.59,0.1433,10.53,38,-0.0662,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,9,FS_9,14.16,0.5,0.73,0.42,-33.36,0.277,40,10,-0.0574,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,10,FS_10,15.7,0.56,0.8,0.47,-33.36,0.2715,26.47,34,-0.0316,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,11,FS_11,16.24,0.57,0.82,0.49,-33.36,0.2783,50,4,-0.042,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,12,FS_12,9.93,0.53,0.79,0.57,-17.49,0.1369,26.19,42,-0.0301,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AAPL,xgb,13,FS_13,1.84,-0.37,-0.67,0.52,-3.53,0.0357,25,16,-0.0458,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,AAPL,,,,1.74,0.04,0.05,0.05,-36.74,0.214,27.27,22,-0.0622,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,AAPL,,,,13.4,0.61,0.98,0.47,-28.26,0.1782,50,8,-0.0232,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,AAPL,,,,3.58,0.1,0.14,0.12,-29.15,0.1692,18.06,72,-0.0481,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,1,FS_1,14.17,0.65,0.98,0.88,-16.15,0.1792,30.85,188,-0.0213,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,2,FS_2,-1,-0.13,-0.18,-0.03,-36.17,0.1902,24.43,176,-0.0647,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,3,FS_3,14.59,0.64,0.98,0.63,-22.98,0.1914,28.05,164,-0.0205,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,4,FS_4,7.06,0.28,0.38,0.25,-28.27,0.2182,22.56,164,-0.0457,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,5,FS_5,3.71,0.09,0.22,0.38,-9.78,0.085,38.46,26,-0.0427,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,6,FS_6,0.09,-13.3,-81.84,1.08,-0.08,0.0024,50,2,-0.0494,Open Strategy Plot,Open Portfolio Plot
random_forest,AAPL,xgb,7,FS_7,10.44,0.39,0.54,0.26,-40.56,0.2656,19.64,56,-0.0568,Open Strategy Plot,Open Portfolio Plot
