Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,ADBE,,,,-6.37,-0.1,-0.12,-0.11,-60.02,0.3545,0,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,ADBE,,,,0,0,0,0,0,0,0,0,-0.0054,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,ADBE,,,,1.71,0.08,0.11,0.03,-48.97,0.2748,35.29,34,0.007,Open Strategy Plot,Open Portfolio Plot
ema,ADBE,,,,-5.18,-0.38,-0.45,-0.14,-36.28,0.1826,16.67,6,-0.0138,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,1,FS_1,-9.53,-0.24,-0.29,-0.17,-56.37,0.3264,30,40,-0.0348,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,2,FS_2,-12.09,-0.32,-0.39,-0.2,-60.68,0.3296,30.77,26,-0.0503,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,3,FS_3,-13.34,-0.38,-0.45,-0.23,-57.3,0.3256,26.32,38,-0.0539,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,4,FS_4,-13.4,-0.37,-0.44,-0.22,-60.42,0.3301,23.33,30,-0.0581,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,5,FS_5,-7.82,-0.21,-0.26,-0.13,-58.92,0.3093,34.29,70,-0.0231,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,6,FS_6,-11.01,-0.32,-0.37,-0.19,-57.42,0.3132,27.78,36,-0.0368,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,7,FS_7,-11.62,-0.41,-0.5,-0.19,-62.56,0.2827,27.66,94,-0.0335,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,8,FS_8,-13.01,-0.42,-0.51,-0.23,-56.7,0.3012,26.67,60,-0.0418,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,9,FS_9,-1.81,0.03,0.03,-0.03,-59.67,0.341,34.29,70,0.0068,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,10,FS_10,-8.46,-0.25,-0.31,-0.17,-50.54,0.2999,30.3,132,-0.0245,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,11,FS_11,-10.44,-0.24,-0.29,-0.17,-59.98,0.343,32.35,34,-0.057,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,12,FS_12,-11.97,-0.31,-0.37,-0.2,-60.02,0.3353,32.35,34,-0.0554,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ADBE,xgb,13,FS_13,-7,-0.16,-0.2,-0.13,-54.06,0.3219,27.5,40,-0.0214,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,ADBE,,,,4.27,0.17,0.22,0.1,-44.57,0.2747,34.38,32,0.0141,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,ADBE,,,,-4.42,-0.14,-0.18,-0.09,-47.52,0.2748,25,8,-0.0105,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,ADBE,,,,-10.07,-0.55,-0.65,-0.18,-57.29,0.2123,17.14,70,-0.0253,Open Strategy Plot,Open Portfolio Plot
random_forest,ADBE,xgb,1,FS_1,-4.86,-0.12,-0.15,-0.09,-52.36,0.3019,28.89,90,-0.0115,Open Strategy Plot,Open Portfolio Plot
random_forest,ADBE,xgb,2,FS_2,-2.4,-0.03,-0.03,-0.04,-58.92,0.3106,31.03,58,-0.0022,Open Strategy Plot,Open Portfolio Plot
random_forest,ADBE,xgb,3,FS_3,-9.12,-0.26,-0.31,-0.15,-59.4,0.3097,32.86,70,-0.0283,Open Strategy Plot,Open Portfolio Plot
random_forest,ADBE,xgb,4,FS_4,-4.4,-0.09,-0.12,-0.07,-61.35,0.311,35.71,56,-0.0098,Open Strategy Plot,Open Portfolio Plot
random_forest,ADBE,xgb,5,FS_5,-9.82,-0.43,-0.54,-0.21,-46.07,0.2466,23.53,136,-0.0255,Open Strategy Plot,Open Portfolio Plot
