Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,AMD,,,,21.4,0.57,0.91,0.33,-65.45,0.5231,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,AMD,,,,0,0,0,0,0,0,0,0,-0.0437,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,AMD,,,,4.99,0.22,0.31,0.1,-51.38,0.3529,33.33,24,-0.041,Open Strategy Plot,Open Portfolio Plot
ema,AMD,,,,10.27,0.36,0.53,0.21,-49.8,0.3732,25,8,-0.0336,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,1,FS_1,-0.58,0.08,0.12,-0.01,-63.76,0.3726,38.89,18,-0.0514,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,2,FS_2,-4.25,-0.04,-0.05,-0.07,-62.77,0.3523,29.17,24,-0.056,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,3,FS_3,-0.51,-0.06,-0.09,-0.02,-32.36,0.2188,31.67,60,-0.0456,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,4,FS_4,4.9,0.19,0.26,0.17,-29.43,0.2442,31.25,64,-0.0387,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,5,FS_5,11.83,0.4,0.59,0.21,-55.6,0.4605,30,60,-0.0369,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,6,FS_6,15.71,0.48,0.71,0.24,-65.45,0.499,50,2,-0.0372,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,7,FS_7,17.27,0.5,0.76,0.27,-63.97,0.4929,23.08,26,-0.0296,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,8,FS_8,-8.15,-0.12,-0.17,-0.14,-56.39,0.3795,24.24,66,-0.0658,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,9,FS_9,-3.23,-0.07,-0.11,-0.06,-52.61,0.2951,22.22,54,-0.0514,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,10,FS_10,-11.02,-0.17,-0.23,-0.17,-64.9,0.4053,23.85,130,-0.0758,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,11,FS_11,22.65,0.59,0.93,0.35,-65.45,0.5203,50,2,-0.0275,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,12,FS_12,0,0,0,0,0,0,0,0,-0.0437,Open Strategy Plot,Open Portfolio Plot
logistic_regression,AMD,xgb,13,FS_13,15.41,0.7,1.37,0.93,-16.63,0.1834,50,6,-0.026,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,AMD,,,,4.67,0.23,0.32,0.1,-44.93,0.3854,26.67,30,-0.0433,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,AMD,,,,-5.35,-0.01,-0.02,-0.09,-58.13,0.4063,25,8,-0.0642,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,AMD,,,,19.22,0.58,0.92,0.38,-50.71,0.3602,20.27,74,-0.0203,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,1,FS_1,15.44,0.47,0.73,0.32,-48.42,0.4093,24.54,216,-0.0264,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,2,FS_2,5.54,0.24,0.36,0.09,-61.54,0.3777,23.47,294,-0.0413,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,3,FS_3,7.48,0.29,0.43,0.2,-37.9,0.3765,26.29,232,-0.0381,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,4,FS_4,5.1,0.24,0.34,0.09,-55.2,0.3865,24.58,240,-0.0425,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,5,FS_5,6.3,0.3,0.45,0.1,-64.96,0.4893,31.82,88,-0.062,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,6,FS_6,-2.55,0.11,0.16,-0.04,-65.45,0.4706,28,50,-0.0767,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,7,FS_7,5.05,0.27,0.39,0.08,-66.08,0.469,24.62,130,-0.0553,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,8,FS_8,0.52,0.15,0.21,0.01,-53.67,0.4301,22.22,90,-0.0561,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,9,FS_9,-1.49,0.01,0.01,-0.03,-54,0.3153,26.64,214,-0.0496,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,10,FS_10,11.83,0.4,0.6,0.17,-69.72,0.4759,28.08,146,-0.04,Open Strategy Plot,Open Portfolio Plot
random_forest,AMD,xgb,11,FS_11,-0.68,0.13,0.19,-0.01,-71.44,0.4463,23.58,246,-0.0623,Open Strategy Plot,Open Portfolio Plot
