Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,GOOG,,,,25.23,0.78,1.13,0.57,-44.6,0.3096,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,GOOG,,,,0,0,0,0,0,0,0,0,-0.0624,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,GOOG,,,,5.77,0.22,0.3,0.16,-35.46,0.2224,40.91,22,-0.0658,Open Strategy Plot,Open Portfolio Plot
ema,GOOG,,,,8.28,0.33,0.43,0.29,-28.89,0.2166,33.33,6,-0.0577,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,1,FS_1,14.81,0.54,0.75,0.34,-43.6,0.2634,46.88,32,-0.0515,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,2,FS_2,17.12,0.6,0.86,0.39,-43.73,0.2703,42.86,42,-0.0463,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,3,FS_3,10.7,0.41,0.59,0.41,-26.1,0.2348,31.25,80,-0.0551,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,4,FS_4,11.12,0.42,0.59,0.31,-35.57,0.2433,31.25,96,-0.0561,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,5,FS_5,7.98,0.31,0.43,0.21,-37.47,0.2262,32.79,122,-0.0606,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,6,FS_6,9.68,0.37,0.53,0.22,-43.6,0.2492,35.71,14,-0.0625,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,7,FS_7,20.33,0.66,0.92,0.48,-42.18,0.3004,31.25,16,-0.063,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,8,FS_8,20.69,0.8,1.11,0.79,-26.08,0.2305,34.38,64,-0.0277,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,9,FS_9,5.42,0.2,0.3,0.2,-27.37,0.1992,31.11,90,-0.0621,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,10,FS_10,16.04,0.62,0.86,0.66,-24.31,0.2299,32.35,136,-0.0397,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,11,FS_11,1.9,0.03,0.04,0.06,-31.37,0.1938,29.29,198,-0.07,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,12,FS_12,12.66,0.45,0.61,0.28,-44.6,0.2941,50,2,-0.0927,Open Strategy Plot,Open Portfolio Plot
logistic_regression,GOOG,xgb,13,FS_13,12.66,0.45,0.61,0.28,-44.6,0.2941,50,2,-0.0927,Open Strategy Plot,Open Portfolio Plot
