Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,META,,,,23.34,0.63,0.83,0.3,-76.74,0.4368,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,META,,,,0,0,0,0,0,0,0,0,-0.049,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,META,,,,-6.61,-0.14,-0.17,-0.1,-69.29,0.3244,35,20,-0.0761,Open Strategy Plot,Open Portfolio Plot
ema,META,,,,27.6,0.91,1.4,0.81,-34.15,0.2746,25,4,-0.0107,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,1,FS_1,3.08,0.18,0.24,0.04,-74.42,0.3691,36.96,46,-0.0645,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,2,FS_2,1.97,0.16,0.21,0.03,-74.42,0.3839,37.5,64,-0.0738,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,3,FS_3,-12.86,-0.31,-0.4,-0.17,-74.32,0.3488,30.95,84,-0.0997,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,4,FS_4,-6.26,-0.16,-0.21,-0.1,-61.93,0.3101,28.57,98,-0.0729,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,5,FS_5,22.79,0.76,1.23,0.56,-40.79,0.281,25,28,-0.0179,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,6,FS_6,4.92,0.19,0.3,0.11,-46.48,0.255,33.33,6,-0.0461,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,7,FS_7,13.4,0.47,0.71,0.34,-39.08,0.2891,30.26,152,-0.0331,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,8,FS_8,32.03,0.88,1.26,0.61,-52.51,0.3496,34.21,38,0.0001,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,9,FS_9,1.08,0.04,0.06,0.02,-50.54,0.255,27.68,112,-0.0527,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,10,FS_10,15.92,0.5,0.63,0.24,-65.32,0.3856,35.53,76,-0.0353,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,11,FS_11,-7.08,-0.42,-0.51,-0.14,-51.46,0.2014,30,10,-0.0637,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,12,FS_12,13.46,0.58,1.11,0.7,-19.31,0.1926,25.81,124,-0.0313,Open Strategy Plot,Open Portfolio Plot
logistic_regression,META,xgb,13,FS_13,0,-0.07,-0.11,0,-22.05,0.1952,24.24,66,-0.0517,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,META,,,,-11.08,-0.29,-0.36,-0.16,-69.94,0.3258,27.27,22,-0.0871,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,META,,,,-16.06,-0.48,-0.6,-0.22,-74.42,0.3191,25,4,-0.0978,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,META,,,,21.49,0.7,1.14,0.4,-53.3,0.291,19.23,78,-0.0199,Open Strategy Plot,Open Portfolio Plot
random_forest,META,xgb,1,FS_1,-9.14,-0.2,-0.24,-0.12,-75.69,0.3431,29.63,108,-0.0873,Open Strategy Plot,Open Portfolio Plot
