Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
logistic_regression,MSFT,lr,1,FS_1,0.4388,0.5417,0.4388,0.439,"72    32    10
47    52    13
73    68    66"
random_forest,MSFT,rf,1,FS_1,0.3782,0.4396,0.3782,0.3685,"56    21    24
40    50    14
98    48    43"
xgboost,MSFT,xgb,1,FS_1,0.3579,0.4087,0.3579,0.3478,"54    28    19
36    45    23
92    55    42"
logistic_regression,AAPL,lr,1,FS_1,0.2633,0.4924,0.2633,0.2282,"12    79    15
4    67    2
30    189    35"
random_forest,AAPL,rf,1,FS_1,0.2716,0.4832,0.2716,0.2586,"60    16    10
57    6    8
132    64    41"
xgboost,AAPL,xgb,1,FS_1,0.3096,0.5427,0.3096,0.2947,"59    20    7
42    22    7
142    54    41"
logistic_regression,GOOG,lr,1,FS_1,0.3995,0.4176,0.3995,0.3728,"15    58    47
11    85    14
31    99    73"
random_forest,GOOG,rf,1,FS_1,0.3959,0.4338,0.3959,0.3983,"33    37    29
26    57    24
51    71    66"
xgboost,GOOG,xgb,1,FS_1,0.3756,0.4083,0.3756,0.3818,"31    41    27
25    47    35
50    68    70"
logistic_regression,META,lr,1,FS_1,0.3903,0.4478,0.3903,0.4059,"50    39    47
20    31    24
52    82    88"
random_forest,META,rf,1,FS_1,0.3832,0.4609,0.3832,0.3903,"46    38    36
21    38    8
77    63    67"
xgboost,META,xgb,1,FS_1,0.3858,0.4937,0.3858,0.395,"50    45    25
21    38    8
75    68    64"
logistic_regression,ORCL,lr,1,FS_1,0.3949,0.4003,0.3949,0.3968,"39    44    34
59    62    45
37    43    70"
random_forest,ORCL,rf,1,FS_1,0.335,0.3343,0.335,0.3344,"20    39    45
45    52    49
38    46    60"
xgboost,ORCL,xgb,1,FS_1,0.3249,0.3257,0.3249,0.3253,"30    43    31
48    43    55
29    60    55"
logistic_regression,ADBE,lr,1,FS_1,0.3972,0.4364,0.3972,0.3906,"18    47    59
8    51    20
33    94    103"
random_forest,ADBE,rf,1,FS_1,0.4442,0.4634,0.4442,0.4481,"29    25    55
19    37    19
45    56    109"
xgboost,ADBE,xgb,1,FS_1,0.3832,0.4388,0.3832,0.3928,"33    27    49
28    39    8
62    69    79"
logistic_regression,TSLA,lr,1,FS_1,0.4988,0.5852,0.4988,0.4986,"7    49    71
0    15    4
13    80    194"
random_forest,TSLA,rf,1,FS_1,0.5533,0.5848,0.5533,0.567,"37    13    55
3    4    12
82    11    177"
xgboost,TSLA,xgb,1,FS_1,0.4518,0.5678,0.4518,0.4774,"54    8    43
14    1    4
142    5    123"
logistic_regression,AMD,lr,1,FS_1,0.4919,0.5081,0.4919,0.4909,"72    1    73
22    3    9
108    7    138"
random_forest,AMD,rf,1,FS_1,0.5051,0.4598,0.5051,0.4801,"42    2    92
14    0    16
68    3    157"
xgboost,AMD,xgb,1,FS_1,0.4162,0.4807,0.4162,0.4326,"65    20    51
15    6    9
106    29    93"
logistic_regression,NVDA,lr,1,FS_1,0.2633,0.4093,0.2633,0.2873,"33    65    38
3    21    14
95    104    60"
random_forest,NVDA,rf,1,FS_1,0.401,0.4548,0.401,0.4218,"34    21    58
11    7    19
93    34    117"
xgboost,NVDA,xgb,1,FS_1,0.3426,0.441,0.3426,0.3741,"30    36    47
10    10    17
101    48    95"
logistic_regression,QQQ,lr,1,FS_1,0.4457,0.493,0.4457,0.42,"28    53    20
19    113    12
28    108    52"
random_forest,QQQ,rf,1,FS_1,0.4112,0.4631,0.4112,0.4072,"38    24    24
40    75    14
64    66    49"
xgboost,QQQ,xgb,1,FS_1,0.4162,0.4783,0.4162,0.4039,"46    25    15
36    77    16
80    58    41"
logistic_regression,MSFT,lr,2,FS_2,0.418,0.4891,0.418,0.4239,"58    41    15
37    52    23
63    73    71"
random_forest,MSFT,rf,2,FS_2,0.4467,0.4831,0.4467,0.4485,"57    19    25
32    47    25
65    52    72"
xgboost,MSFT,xgb,2,FS_2,0.3985,0.4585,0.3985,0.3992,"48    32    21
33    52    19
77    55    57"
logistic_regression,AAPL,lr,2,FS_2,0.2494,0.7008,0.2494,0.1582,"32    74    0
2    71    0
67    182    5"
random_forest,AAPL,rf,2,FS_2,0.3426,0.5675,0.3426,0.3376,"56    19    11
38    29    4
132    55    50"
xgboost,AAPL,xgb,2,FS_2,0.3274,0.5027,0.3274,0.3199,"57    17    12
36    23    12
134    54    49"
logistic_regression,GOOG,lr,2,FS_2,0.3949,0.4071,0.3949,0.3552,"6    70    44
9    87    14
15    110    78"
random_forest,GOOG,rf,2,FS_2,0.3858,0.4201,0.3858,0.3857,"22    45    32
24    61    22
48    71    69"
xgboost,GOOG,xgb,2,FS_2,0.3274,0.3727,0.3274,0.3409,"19    47    33
41    39    27
61    56    71"
logistic_regression,META,lr,2,FS_2,0.3695,0.4467,0.3695,0.37,"20    63    53
3    42    30
24    100    98"
random_forest,META,rf,2,FS_2,0.3858,0.4215,0.3858,0.3953,"33    35    52
13    28    26
54    62    91"
xgboost,META,xgb,2,FS_2,0.3655,0.4165,0.3655,0.3782,"33    40    47
20    29    18
65    60    82"
logistic_regression,ORCL,lr,2,FS_2,0.4018,0.4145,0.4018,0.4027,"45    36    36
61    55    50
46    30    74"
random_forest,ORCL,rf,2,FS_2,0.368,0.3638,0.368,0.3646,"29    38    37
45    45    56
29    44    71"
xgboost,ORCL,xgb,2,FS_2,0.3452,0.3409,0.3452,0.3418,"29    41    34
40    41    65
33    45    66"
logistic_regression,ADBE,lr,2,FS_2,0.4065,0.4695,0.4065,0.4075,"24    48    52
8    51    20
29    100    101"
random_forest,ADBE,rf,2,FS_2,0.4391,0.4782,0.4391,0.442,"32    30    47
12    48    15
48    69    93"
xgboost,ADBE,xgb,2,FS_2,0.3985,0.4763,0.3985,0.4091,"35    37    37
25    44    6
72    60    78"
logistic_regression,TSLA,lr,2,FS_2,0.4296,0.5591,0.4296,0.4469,"6    51    70
0    15    4
12    110    165"
random_forest,TSLA,rf,2,FS_2,0.5254,0.5214,0.5254,0.5229,"29    0    76
7    0    12
87    5    178"
