Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,MSFT,,,,20.83,0.74,1.1,0.56,-37.15,0.259,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,MSFT,,,,0,0,0,0,0,0,0,0,-0.0623,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,MSFT,,,,7.82,0.31,0.45,0.23,-33.59,0.2078,40.91,22,-0.0646,Open Strategy Plot,Open Portfolio Plot
ema,MSFT,,,,9.73,0.43,0.58,0.46,-21.08,0.1773,33.33,6,-0.049,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,1,FS_1,11.12,0.44,0.61,0.34,-32.24,0.2231,35.29,34,-0.0599,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,2,FS_2,12.89,0.51,0.71,0.4,-32.24,0.2281,44.12,34,-0.0555,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,3,FS_3,2.73,0.07,0.1,0.1,-26.11,0.1958,28.05,82,-0.0779,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,4,FS_4,2.21,0.05,0.07,0.07,-30.81,0.2045,30.43,92,-0.0844,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,5,FS_5,6.71,0.26,0.37,0.24,-27.41,0.2092,27.45,102,-0.0695,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,6,FS_6,7.04,0.28,0.39,0.22,-31.77,0.204,33.33,6,-0.0657,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,7,FS_7,20.32,0.73,1.07,0.6,-33.89,0.2537,37.5,8,-0.046,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,8,FS_8,2.38,0.02,0.03,0.09,-28,0.1556,27.27,44,-0.0669,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,9,FS_9,18.55,0.7,0.98,0.62,-29.71,0.2394,35.71,42,-0.0359,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,10,FS_10,15.65,0.64,0.9,0.78,-19.99,0.2157,30.21,96,-0.0381,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,11,FS_11,20.21,0.72,1.06,0.55,-36.91,0.2554,33.33,18,-0.0566,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,12,FS_12,12.26,0.47,0.65,0.33,-37.15,0.2453,50,2,-0.0828,Open Strategy Plot,Open Portfolio Plot
logistic_regression,MSFT,xgb,13,FS_13,10.63,0.41,0.57,0.29,-37.04,0.2433,50,2,-0.0882,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,MSFT,,,,8.71,0.37,0.53,0.41,-21.5,0.1866,40,20,-0.0542,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,MSFT,,,,2.66,0.06,0.08,0.08,-31.77,0.178,33.33,6,-0.0715,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,MSFT,,,,7.39,0.31,0.43,0.22,-34.31,0.179,16.67,90,-0.0566,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,1,FS_1,4.86,0.18,0.25,0.14,-34.68,0.2117,28.08,146,-0.0783,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,2,FS_2,3.74,0.13,0.18,0.12,-31.17,0.2142,27.11,166,-0.0846,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,3,FS_3,6.07,0.23,0.33,0.16,-37.02,0.2074,26.52,132,-0.0709,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,4,FS_4,1.95,0.05,0.07,0.05,-36.8,0.215,30.15,136,-0.0929,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,5,FS_5,7.17,0.3,0.45,0.44,-16.48,0.1773,26.92,182,-0.057,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,6,FS_6,8.23,0.37,0.54,0.32,-25.56,0.1621,31.08,74,-0.0509,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,7,FS_7,20.25,0.74,1.07,0.57,-35.39,0.2458,32.5,40,-0.0314,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,8,FS_8,4.64,0.17,0.24,0.14,-32.89,0.2137,30.65,62,-0.0807,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,9,FS_9,14.36,0.75,1.12,1.06,-13.49,0.152,28.16,174,-0.0329,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,10,FS_10,14.37,0.56,0.78,0.56,-25.57,0.2282,30,120,-0.0488,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,11,FS_11,12.91,0.56,0.8,0.75,-17.31,0.193,28.38,148,-0.042,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,12,FS_12,10.91,0.43,0.59,0.31,-35.45,0.2257,38.24,68,-0.0625,Open Strategy Plot,Open Portfolio Plot
random_forest,MSFT,xgb,13,FS_13,7.51,0.3,0.4,0.22,-33.6,0.2152,31.36,118,-0.0697,Open Strategy Plot,Open Portfolio Plot
rsi_trend_filter,MSFT,,,,2.37,-0.11,-0.15,0.32,-7.4,0.0618,27.78,18,-0.0577,Open Strategy Plot,Open Portfolio Plot
sentiment_momentum_confirmation,MSFT,,,,16.75,0.71,1.01,0.65,-25.66,0.2019,36.36,22,-0.0311,Open Strategy Plot,Open Portfolio Plot
sentiment_regime_filter,MSFT,,,,2.89,0.04,0.06,0.15,-19.44,0.1373,16.67,6,-0.0625,Open Strategy Plot,Open Portfolio Plot
sentiment_strategy,MSFT,,,,24.03,0.9,1.25,0.75,-31.84,0.2352,37.5,32,-0.007,Open Strategy Plot,Open Portfolio Plot
sma,MSFT,,,,8.49,0.38,0.51,0.44,-19.44,0.1678,25,8,-0.051,Open Strategy Plot,Open Portfolio Plot
sma_rsi,MSFT,,,,8.69,0.41,0.57,0.42,-20.56,0.1566,50,8,-0.0488,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,MSFT,,,,6.1,0.25,0.33,0.26,-23.61,0.1655,12.5,8,-0.0577,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,1,FS_1,3.55,0.12,0.17,0.11,-31.43,0.211,25.24,206,-0.0831,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,2,FS_2,4.21,0.15,0.2,0.13,-33.03,0.2036,27.67,206,-0.0761,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,3,FS_3,5.63,0.21,0.3,0.16,-35.71,0.2121,26.97,152,-0.0753,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,4,FS_4,5.32,0.2,0.28,0.13,-40.18,0.2196,26.67,210,-0.0823,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,5,FS_5,6.88,0.28,0.43,0.33,-21.05,0.1759,25.78,128,-0.0576,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,6,FS_6,5.87,0.23,0.32,0.26,-22.97,0.1919,26.03,146,-0.0652,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,7,FS_7,14.15,0.54,0.78,0.49,-29.11,0.2381,33.33,42,-0.0583,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,8,FS_8,9.86,0.39,0.55,0.25,-39.68,0.2188,25,116,-0.0624,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,9,FS_9,13.25,0.61,0.88,0.82,-16.21,0.1783,27.24,246,-0.0385,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,10,FS_10,13.81,0.55,0.78,0.47,-29.61,0.2261,31.45,124,-0.0502,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,11,FS_11,4.15,0.13,0.2,0.21,-19.33,0.1355,26.7,176,-0.0587,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,12,FS_12,8.91,0.34,0.48,0.23,-38.11,0.2397,28.26,46,-0.0903,Open Strategy Plot,Open Portfolio Plot
xgboost,MSFT,xgb,13,FS_13,12.28,0.49,0.7,0.38,-32.07,0.2216,30.77,104,-0.0539,Open Strategy Plot,Open Portfolio Plot
