Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,NVDA,,,,72.73,1.24,2,1.1,-66.34,0.527,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,NVDA,,,,0,0,0,0,0,0,0,0,-0.0861,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,NVDA,,,,33.01,0.9,1.32,0.7,-47.18,0.3521,42.31,26,-0.0596,Open Strategy Plot,Open Portfolio Plot
ema,NVDA,,,,42.18,0.97,1.43,0.94,-44.81,0.422,33.33,6,-0.0553,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,1,FS_1,35.8,0.85,1.23,0.56,-63.46,0.4356,36.21,58,-0.0673,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,2,FS_2,26.75,0.69,0.99,0.42,-63.63,0.4305,35.94,64,-0.0803,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,3,FS_3,33.23,0.81,1.14,0.55,-60.8,0.4342,36.25,80,-0.0709,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,4,FS_4,18.82,0.54,0.77,0.3,-63.69,0.4308,30.43,46,-0.0938,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,5,FS_5,-6.07,-0.18,-0.25,-0.12,-49.73,0.2934,23.68,76,-0.1064,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,6,FS_6,0.99,-0.02,-0.03,0.02,-41.6,0.1922,16.67,6,-0.0888,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,7,FS_7,61.37,1.14,1.72,0.93,-66.34,0.5059,50,12,-0.0472,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,8,FS_8,39.24,0.9,1.34,0.77,-50.83,0.4443,36.54,52,-0.0641,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,9,FS_9,3.39,0.06,0.09,0.17,-19.76,0.0939,22.22,18,-0.0828,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,10,FS_10,59.1,1.16,1.67,1.1,-53.9,0.4677,30,80,-0.0374,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,11,FS_11,40.1,0.86,1.28,0.61,-65.56,0.4947,40.54,74,-0.0887,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,12,FS_12,0,0,0,0,0,0,0,0,-0.0861,Open Strategy Plot,Open Portfolio Plot
logistic_regression,NVDA,xgb,13,FS_13,0,0,0,0,0,0,0,0,-0.0861,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,NVDA,,,,19.96,0.62,0.9,0.44,-45.24,0.3285,38.89,36,-0.0737,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,NVDA,,,,11.59,0.4,0.58,0.24,-49.31,0.324,37.5,8,-0.0843,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,NVDA,,,,44.71,1.06,1.63,1.07,-41.63,0.3932,14.52,62,-0.0487,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,1,FS_1,27.8,0.73,1.06,0.42,-65.56,0.4094,27.68,224,-0.0737,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,2,FS_2,36.08,0.88,1.36,0.57,-63.16,0.4097,27.6,250,-0.0623,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,3,FS_3,23.37,0.63,0.92,0.39,-60.49,0.4211,26.02,246,-0.0831,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,4,FS_4,20.21,0.57,0.84,0.32,-62.68,0.4178,25.19,270,-0.0874,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,5,FS_5,-1.21,-2.31,-2.31,-0.21,-5.67,0.0191,0,4,-0.0876,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,6,FS_6,4.89,0.18,0.29,0.16,-30.72,0.1596,30,20,-0.0827,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,7,FS_7,46.89,1,1.5,0.68,-69,0.4542,34.92,126,-0.0543,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,8,FS_8,7.58,0.29,0.42,0.12,-60.67,0.3418,27.68,112,-0.0923,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,9,FS_9,5.78,0.29,0.53,0.56,-10.37,0.1019,30.77,52,-0.0802,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,10,FS_10,17.68,0.52,0.76,0.28,-62.29,0.4191,27.92,154,-0.0922,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,11,FS_11,17.47,0.64,0.93,0.68,-25.86,0.255,28.95,152,-0.0717,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,12,FS_12,24.94,0.67,0.95,0.42,-59.77,0.419,31.25,160,-0.0801,Open Strategy Plot,Open Portfolio Plot
random_forest,NVDA,xgb,13,FS_13,-2.19,-0.17,-0.26,-0.07,-32.03,0.1997,26.19,84,-0.0932,Open Strategy Plot,Open Portfolio Plot
rsi_trend_filter,NVDA,,,,12.11,0.6,0.94,0.61,-20,0.1578,37.5,16,-0.0742,Open Strategy Plot,Open Portfolio Plot
sentiment_momentum_confirmation,NVDA,,,,36,0.89,1.24,0.73,-49.31,0.4054,44.44,18,-0.0613,Open Strategy Plot,Open Portfolio Plot
sentiment_regime_filter,NVDA,,,,11.59,0.42,0.6,0.41,-28.41,0.2751,50,2,-0.08,Open Strategy Plot,Open Portfolio Plot
sentiment_strategy,NVDA,,,,42.24,0.94,1.39,0.79,-53.76,0.4504,36.11,36,-0.0602,Open Strategy Plot,Open Portfolio Plot
sma,NVDA,,,,46.61,1.05,1.58,1.15,-40.38,0.414,33.33,6,-0.0483,Open Strategy Plot,Open Portfolio Plot
sma_rsi,NVDA,,,,14.95,0.47,0.66,0.3,-49.31,0.3895,33.33,6,-0.0892,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,NVDA,,,,44.47,1.02,1.52,1.1,-40.38,0.4154,33.33,6,-0.0513,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,1,FS_1,17.18,0.52,0.79,0.24,-71.52,0.3808,27.67,318,-0.0841,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,2,FS_2,18.68,0.56,0.9,0.4,-46.53,0.3609,27.74,310,-0.0791,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,3,FS_3,10.78,0.38,0.55,0.16,-67.06,0.4076,24.67,304,-0.0999,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,4,FS_4,3.44,0.21,0.3,0.05,-63.59,0.4107,25.89,336,-0.114,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,5,FS_5,1.11,-0.51,-1.05,0.25,-4.42,0.04,30,10,-0.0849,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,6,FS_6,0.84,-0.01,-0.02,0.02,-44.02,0.2064,27.27,22,-0.0897,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,7,FS_7,16.44,0.49,0.73,0.24,-68.32,0.4223,32.69,156,-0.0954,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,8,FS_8,10.1,0.36,0.53,0.22,-46.79,0.3271,34.09,88,-0.0868,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,9,FS_9,-2.65,-0.28,-0.45,-0.07,-36.59,0.163,20,80,-0.0922,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,10,FS_10,2.72,0.17,0.26,0.04,-67.25,0.3803,25.48,208,-0.107,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,11,FS_11,-5.15,-0.27,-0.38,-0.09,-57.92,0.2262,26.4,178,-0.0988,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,12,FS_12,13.3,0.45,0.64,0.24,-54.73,0.3359,28.57,98,-0.0833,Open Strategy Plot,Open Portfolio Plot
xgboost,NVDA,xgb,13,FS_13,-5.75,-0.33,-0.47,-0.12,-47.66,0.2111,22.62,84,-0.0987,Open Strategy Plot,Open Portfolio Plot
