Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,ORCL,,,,37.96,0.95,1.45,0.94,-40.36,0.3817,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,ORCL,,,,0,0,0,0,0,0,0,0,-0.0703,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,ORCL,,,,18.46,0.61,1.14,0.7,-26.45,0.2865,34.62,26,-0.0543,Open Strategy Plot,Open Portfolio Plot
ema,ORCL,,,,15.77,0.5,0.77,0.45,-35.25,0.3356,33.33,6,-0.0777,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,1,FS_1,16,0.57,0.81,0.44,-36.12,0.2662,30,30,-0.0555,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,2,FS_2,13.36,0.47,0.66,0.34,-39.82,0.2801,30,20,-0.0633,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,3,FS_3,16.64,0.59,0.84,0.46,-36.12,0.2667,32.14,28,-0.0543,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,4,FS_4,13.6,0.48,0.66,0.36,-38.16,0.2841,31.25,16,-0.0635,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,5,FS_5,2.25,0.05,0.08,0.07,-31.61,0.2062,26.92,52,-0.075,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,6,FS_6,20.61,0.66,1.08,0.76,-27.14,0.3023,27.27,22,-0.0525,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,7,FS_7,10.67,0.46,0.75,0.44,-24.31,0.1898,30.7,114,-0.0582,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,8,FS_8,5.16,0.19,0.3,0.17,-30.44,0.1958,40.62,32,-0.0685,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,9,FS_9,4.98,0.17,0.36,0.25,-19.53,0.2174,18.18,22,-0.0714,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,10,FS_10,12.44,0.48,0.77,0.43,-29.22,0.2306,28.57,154,-0.0583,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,11,FS_11,-0.32,-0.28,-0.43,-0.01,-22.95,0.1064,20.83,48,-0.0728,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,12,FS_12,0,0,0,0,0,0,0,0,-0.0703,Open Strategy Plot,Open Portfolio Plot
logistic_regression,ORCL,xgb,13,FS_13,-2.64,-0.6,-1.16,-0.15,-17.53,0.0919,25,16,-0.0763,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,ORCL,,,,22.84,0.77,1.57,0.82,-27.92,0.2696,40,30,-0.0433,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,ORCL,,,,18.96,0.67,1.28,0.8,-23.72,0.2586,37.5,8,-0.0495,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,ORCL,,,,16.12,0.57,0.74,0.65,-24.67,0.2682,24.24,66,-0.0555,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,1,FS_1,22.75,0.74,1.45,0.88,-25.72,0.283,34.55,110,-0.0449,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,2,FS_2,3.11,0.09,0.12,0.12,-26.04,0.1889,26.79,112,-0.0716,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,3,FS_3,22.27,0.73,1.47,0.69,-32.46,0.2809,32.69,104,-0.0457,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,4,FS_4,8.82,0.34,0.53,0.25,-34.6,0.2244,30.43,92,-0.0645,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,5,FS_5,-1.88,-1.41,-1.66,-0.2,-9.53,0.036,25,16,-0.0737,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,6,FS_6,6.09,0.24,0.43,0.22,-28.23,0.1761,27.78,90,-0.0654,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,7,FS_7,16.12,0.57,0.81,0.47,-34.58,0.2671,27.68,112,-0.0554,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,8,FS_8,15.47,0.52,0.89,0.45,-34.69,0.2953,31.82,66,-0.0625,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,9,FS_9,16.96,0.54,0.88,0.48,-35.66,0.3265,24.19,124,-0.0691,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,10,FS_10,10.1,0.39,0.55,0.33,-31.03,0.2418,35.25,122,-0.064,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,11,FS_11,12.14,0.49,0.77,0.39,-30.98,0.2125,27.73,220,-0.0572,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,12,FS_12,21.77,0.72,1.42,0.66,-32.79,0.278,35.56,90,-0.0463,Open Strategy Plot,Open Portfolio Plot
random_forest,ORCL,xgb,13,FS_13,2.41,0.04,0.07,0.09,-27.23,0.1809,25,76,-0.0723,Open Strategy Plot,Open Portfolio Plot
rsi_trend_filter,ORCL,,,,9.67,0.38,0.93,0.48,-20.18,0.2123,35.71,14,-0.0622,Open Strategy Plot,Open Portfolio Plot
sentiment_momentum_confirmation,ORCL,,,,17.39,0.56,0.88,0.48,-35.96,0.3195,35,20,-0.0651,Open Strategy Plot,Open Portfolio Plot
sentiment_regime_filter,ORCL,,,,8.43,0.31,0.46,0.24,-35.25,0.3046,25,8,-0.0821,Open Strategy Plot,Open Portfolio Plot
sentiment_strategy,ORCL,,,,40.72,1.07,1.7,1.15,-35.26,0.3437,41.67,12,-0.0101,Open Strategy Plot,Open Portfolio Plot
sma,ORCL,,,,9.49,0.34,0.5,0.27,-35.25,0.3182,37.5,8,-0.0854,Open Strategy Plot,Open Portfolio Plot
sma_rsi,ORCL,,,,5.53,0.22,0.34,0.15,-35.79,0.3134,37.5,8,-0.0938,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,ORCL,,,,9.49,0.34,0.5,0.27,-35.25,0.3182,37.5,8,-0.0854,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,1,FS_1,2.72,0.07,0.1,0.08,-32.9,0.1905,28.3,106,-0.0725,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,2,FS_2,4.87,0.18,0.28,0.15,-31.71,0.2286,25.31,162,-0.0726,Open Strategy Plot,Open Portfolio Plot
