Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,QQQ,,,,15.85,0.62,0.87,0.45,-35.12,0.2286,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,QQQ,,,,0,0,0,0,0,0,0,0,-0.0569,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,QQQ,,,,7.15,0.29,0.39,0.21,-34.57,0.1967,38.89,18,-0.0636,Open Strategy Plot,Open Portfolio Plot
ema,QQQ,,,,10.54,0.52,0.68,0.46,-22.77,0.1565,33.33,6,-0.0353,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,1,FS_1,2.69,0.06,0.09,0.08,-32.42,0.1877,45.45,22,-0.0782,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,2,FS_2,7.07,0.28,0.4,0.22,-32.42,0.1933,43.33,30,-0.0614,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,3,FS_3,2.57,0.06,0.08,0.08,-32.42,0.1893,31.58,38,-0.0801,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,4,FS_4,6.66,0.27,0.37,0.21,-32.42,0.193,41.18,34,-0.0632,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,5,FS_5,-0.32,-0.12,-0.17,-0.01,-29.2,0.1718,34.78,46,-0.0813,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,6,FS_6,1.67,-0.02,-0.03,0.06,-29.56,0.1599,25,4,-0.0682,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,7,FS_7,11.71,0.47,0.63,0.34,-34.83,0.2231,41.67,24,-0.0883,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,8,FS_8,6.52,0.26,0.37,0.23,-28.5,0.1887,37.18,78,-0.061,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,9,FS_9,1.74,0.02,0.02,0.05,-34.77,0.1906,30.68,88,-0.085,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,10,FS_10,1.88,0.02,0.03,0.06,-32.98,0.1911,28.87,142,-0.0849,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,11,FS_11,1.45,0,0,0.05,-32.11,0.1877,32.69,104,-0.0839,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,12,FS_12,11.2,0.45,0.61,0.32,-35.12,0.2165,50,2,-0.0652,Open Strategy Plot,Open Portfolio Plot
logistic_regression,QQQ,xgb,13,FS_13,10.03,0.42,0.57,0.26,-38.06,0.2018,27.78,18,-0.0527,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,QQQ,,,,2.97,0.07,0.09,0.14,-21.43,0.1697,27.78,18,-0.0668,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,QQQ,,,,6.35,0.26,0.39,0.21,-29.56,0.1657,33.33,6,-0.0523,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,QQQ,,,,10.81,0.57,0.76,0.48,-22.53,0.1419,23.44,64,-0.0327,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,1,FS_1,7.95,0.33,0.46,0.23,-34.33,0.1898,31.71,82,-0.0551,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,2,FS_2,11.09,0.48,0.67,0.38,-29.56,0.1914,34.04,94,-0.0416,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,3,FS_3,11.79,0.52,0.75,0.48,-24.59,0.1867,29.76,84,-0.0368,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,4,FS_4,9.95,0.43,0.61,0.38,-26.35,0.1905,27.66,94,-0.0463,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,5,FS_5,4.38,0.16,0.31,0.63,-6.98,0.0898,32,50,-0.0477,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,6,FS_6,-0.1,-0.45,-0.62,-0.01,-18.71,0.0684,16.67,36,-0.0592,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,7,FS_7,12.89,0.52,0.7,0.42,-30.97,0.22,25,24,-0.0611,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,8,FS_8,2.93,0.08,0.11,0.09,-33.44,0.1934,25.93,54,-0.0818,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,9,FS_9,4.64,0.17,0.28,0.53,-8.68,0.1103,24.59,122,-0.0487,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,10,FS_10,6.23,0.24,0.32,0.16,-39.49,0.1975,30.38,158,-0.0688,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,11,FS_11,7.28,0.32,0.46,0.31,-23.28,0.1582,28.38,148,-0.047,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,12,FS_12,9.95,0.4,0.54,0.24,-41.25,0.2118,31.25,32,-0.0646,Open Strategy Plot,Open Portfolio Plot
random_forest,QQQ,xgb,13,FS_13,-0.68,-0.17,-0.23,-0.02,-28.83,0.1588,24.07,54,-0.0768,Open Strategy Plot,Open Portfolio Plot
rsi_trend_filter,QQQ,,,,2.04,-0.16,-0.23,0.26,-7.71,0.0613,33.33,12,-0.0526,Open Strategy Plot,Open Portfolio Plot
sentiment_momentum_confirmation,QQQ,,,,0,0,0,0,0,0,0,0,-0.0569,Open Strategy Plot,Open Portfolio Plot
sentiment_regime_filter,QQQ,,,,0,0,0,0,0,0,0,0,-0.0569,Open Strategy Plot,Open Portfolio Plot
sentiment_strategy,QQQ,,,,0,0,0,0,0,0,0,0,-0.0569,Open Strategy Plot,Open Portfolio Plot
sma,QQQ,,,,10.92,0.54,0.71,0.48,-22.77,0.157,33.33,6,-0.034,Open Strategy Plot,Open Portfolio Plot
sma_rsi,QQQ,,,,6.57,0.29,0.39,0.29,-22.77,0.146,25,4,-0.0472,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,QQQ,,,,8.56,0.4,0.54,0.38,-22.77,0.1535,33.33,6,-0.0416,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,1,FS_1,1.47,-0.03,-0.04,0.05,-29.57,0.1608,25.57,176,-0.0693,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,2,FS_2,2.67,0.05,0.08,0.11,-23.54,0.1736,24.43,176,-0.0698,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,3,FS_3,4.94,0.18,0.26,0.17,-28.63,0.1712,26.15,130,-0.0595,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,4,FS_4,4.19,0.14,0.2,0.15,-27.48,0.1833,24.32,148,-0.0683,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,5,FS_5,5.28,0.23,0.39,0.56,-9.43,0.1136,27.78,72,-0.0471,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,6,FS_6,7.2,0.32,0.47,0.31,-23.42,0.1541,35.45,110,-0.0465,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,7,FS_7,14.25,0.56,0.78,0.44,-32.42,0.2243,42.86,14,-0.0674,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,8,FS_8,4.22,0.14,0.2,0.12,-34.03,0.1953,26.56,64,-0.0771,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,9,FS_9,0.88,-0.28,-0.52,0.13,-6.8,0.0744,26.67,60,-0.0567,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,10,FS_10,-0.1,-0.08,-0.11,0,-42.64,0.1879,26.58,158,-0.0916,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,11,FS_11,3.89,0.11,0.17,0.28,-14.14,0.1247,31.25,96,-0.0527,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,12,FS_12,11.33,0.46,0.62,0.32,-35.12,0.2164,50,4,-0.0641,Open Strategy Plot,Open Portfolio Plot
xgboost,QQQ,xgb,13,FS_13,-1.27,-0.19,-0.26,-0.04,-31.61,0.1659,20.69,58,-0.0822,Open Strategy Plot,Open Portfolio Plot
