Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
buy_and_hold,TSLA,,,,13.56,0.46,0.72,0.18,-73.63,0.6125,50,2,,Open Strategy Plot,Open Portfolio Plot
bb_squeeze_breakout,TSLA,,,,0,0,0,0,0,0,0,0,-0.0356,Open Strategy Plot,Open Portfolio Plot
bollinger_mean_reversion,TSLA,,,,10.62,0.38,0.56,0.17,-62.9,0.4603,34.62,26,-0.0219,Open Strategy Plot,Open Portfolio Plot
ema,TSLA,,,,-10.23,-0.08,-0.11,-0.13,-77.51,0.458,20,10,-0.0543,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,1,FS_1,0.94,0.12,0.18,0.02,-53.77,0.3658,26.67,30,-0.0348,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,2,FS_2,-13.62,-0.32,-0.46,-0.19,-70.38,0.3594,28.33,60,-0.0546,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,3,FS_3,0.43,0.1,0.16,0.01,-53.77,0.3676,28.12,32,-0.0355,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,4,FS_4,-12.5,-0.28,-0.41,-0.21,-59.95,0.3604,23.53,34,-0.053,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,5,FS_5,0,0,0,0,0,0,0,0,-0.0356,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,6,FS_6,0,0,0,0,0,0,0,0,-0.0356,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,7,FS_7,-2.87,0.17,0.25,-0.04,-78.04,0.5617,26.92,78,-0.0564,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,8,FS_8,-4.97,0.04,0.06,-0.07,-69.61,0.4575,32.35,34,-0.0455,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,9,FS_9,0,0,0,0,0,0,0,0,-0.0356,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,10,FS_10,-3.86,0.15,0.22,-0.05,-76.62,0.5618,23.91,46,-0.0592,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,11,FS_11,-0.57,-3.14,-3.14,-0.21,-2.71,0.012,0,2,-0.0362,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,12,FS_12,1.21,0.07,0.09,0.03,-38.89,0.278,32.14,28,-0.0341,Open Strategy Plot,Open Portfolio Plot
logistic_regression,TSLA,xgb,13,FS_13,0,0,0,0,0,0,0,0,-0.0356,Open Strategy Plot,Open Portfolio Plot
ma_distance_reversion,TSLA,,,,-5.46,0.03,0.04,-0.08,-70.83,0.4488,30.56,36,-0.0458,Open Strategy Plot,Open Portfolio Plot
macd_trend_follow,TSLA,,,,26.41,0.7,1.04,0.52,-51.2,0.4138,50,14,-0.0037,Open Strategy Plot,Open Portfolio Plot
obv_trend_confirmation,TSLA,,,,23.08,0.65,0.92,0.56,-41.48,0.3901,23.61,72,-0.0082,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,1,FS_1,19.94,0.55,0.81,0.38,-52.13,0.4677,27.59,174,-0.0088,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,2,FS_2,-0.39,0.14,0.2,-0.01,-58.56,0.4476,24.79,234,-0.0377,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,3,FS_3,7.39,0.32,0.45,0.13,-58.38,0.4774,21.13,194,-0.0264,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,4,FS_4,2.71,0.22,0.31,0.05,-54.18,0.4668,26.09,230,-0.0335,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,5,FS_5,-4.1,-0.03,-0.04,-0.07,-62.67,0.3602,25,96,-0.0412,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,6,FS_6,-1.97,-0.17,-0.23,-0.06,-34.23,0.1944,27.14,70,-0.0377,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,7,FS_7,2.89,0.26,0.38,0.04,-74.75,0.5471,27.38,84,-0.0388,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,8,FS_8,8.12,0.34,0.48,0.12,-65.02,0.4836,29.81,104,-0.0255,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,9,FS_9,5.87,0.26,0.39,0.09,-65.87,0.4109,31.69,142,-0.0285,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,10,FS_10,4.8,0.29,0.41,0.07,-64.67,0.5325,29.1,244,-0.033,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,11,FS_11,-10.36,-0.03,-0.04,-0.15,-70.36,0.5044,24.19,124,-0.0598,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,12,FS_12,5.91,0.29,0.42,0.08,-72.39,0.4742,25.53,94,-0.0288,Open Strategy Plot,Open Portfolio Plot
random_forest,TSLA,xgb,13,FS_13,-0.48,0.13,0.19,-0.01,-67.63,0.4379,29.46,112,-0.0377,Open Strategy Plot,Open Portfolio Plot
rsi_trend_filter,TSLA,,,,3.44,0.11,0.2,0.11,-31.39,0.2111,25,12,-0.0319,Open Strategy Plot,Open Portfolio Plot
sentiment_momentum_confirmation,TSLA,,,,-0.98,0.16,0.23,-0.01,-72.77,0.4918,27.78,18,-0.0409,Open Strategy Plot,Open Portfolio Plot
sentiment_regime_filter,TSLA,,,,-10.32,-0.18,-0.25,-0.17,-59.05,0.384,12.5,8,-0.0505,Open Strategy Plot,Open Portfolio Plot
sentiment_strategy,TSLA,,,,6.14,0.28,0.38,0.11,-55.72,0.4197,33.33,24,-0.0281,Open Strategy Plot,Open Portfolio Plot
sma,TSLA,,,,-3.79,0.05,0.07,-0.06,-58.65,0.4347,30,10,-0.0426,Open Strategy Plot,Open Portfolio Plot
sma_rsi,TSLA,,,,0.27,0.15,0.23,0,-66.71,0.4449,16.67,6,-0.0368,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,TSLA,,,,2.57,0.21,0.3,0.05,-54.69,0.4476,30,10,-0.0334,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,1,FS_1,10.88,0.38,0.56,0.17,-65.44,0.4493,22.87,328,-0.0216,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,2,FS_2,-3.63,0.06,0.09,-0.06,-59.83,0.4403,24,350,-0.0423,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,3,FS_3,13.43,0.43,0.62,0.29,-46.92,0.4631,22.69,260,-0.0178,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,4,FS_4,-6.39,0,0,-0.1,-64.98,0.4428,23.16,272,-0.0468,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,5,FS_5,-4.23,-0.23,-0.31,-0.1,-42.67,0.2182,24.39,82,-0.0402,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,6,FS_6,-0.2,-0.6,-0.82,-0.02,-8.66,0.0548,33.33,6,-0.0358,Open Strategy Plot,Open Portfolio Plot
xgboost,TSLA,xgb,7,FS_7,-0.83,0.2,0.28,-0.01,-73.63,0.5474,29.79,94,-0.0471,Open Strategy Plot,Open Portfolio Plot
