Action,Date,Number of Stocks,Price per Stock,Cash Flow
STAY for 139 days,,,,
BUY,2016-08-30 00:00:00,410.01,24.39,-10000.0
HOLD for 6 days,,,,
SELL,2016-09-09 00:00:00,-410.01,23.73,9729.24
BUY,2016-09-12 00:00:00,401.03,24.26,-9729.24
HOLD for 2 days,,,,
SELL,2016-09-15 00:00:00,-401.03,26.59,10663.97
STAY for 9 days,,,,
BUY,2016-09-29 00:00:00,413.14,25.81,-10663.97
HOLD for 7 days,,,,
SELL,2016-10-11 00:00:00,-413.14,26.76,11055.61
STAY for 7 days,,,,
BUY,2016-10-21 00:00:00,412.08,26.83,-11055.61
HOLD for 6 days,,,,
SELL,2016-11-01 00:00:00,-412.08,25.65,10571.1
STAY for 10 days,,,,
BUY,2016-11-16 00:00:00,415.57,25.44,-10571.1
HOLD for 2 days,,,,
SELL,2016-11-21 00:00:00,-415.57,25.84,10738.33
STAY for 27 days,,,,
BUY,2017-01-03 00:00:00,399.75,26.86,-10738.33
HOLD for 3 days,,,,
SELL,2017-01-09 00:00:00,-399.75,27.52,11000.89
STAY for 9 days,,,,
BUY,2017-01-24 00:00:00,396.49,27.75,-11000.89
SELL,2017-01-25 00:00:00,-396.49,28.19,11176.03
STAY for 21 days,,,,
BUY,2017-02-27 00:00:00,351.39,31.81,-11176.03
HOLD for 35 days,,,,
SELL,2017-04-19 00:00:00,-351.39,32.68,11482.1
BUY,2017-04-20 00:00:00,347.04,33.09,-11482.1
HOLD for 6 days,,,,
SELL,2017-05-01 00:00:00,-347.04,34.05,11815.83
STAY for 14 days,,,,
BUY,2017-05-22 00:00:00,328.99,35.92,-11815.83
HOLD for 13 days,,,,
SELL,2017-06-12 00:00:00,-328.99,33.92,11158.24
BUY,2017-06-13 00:00:00,326.36,34.19,-11158.24
SELL,2017-06-14 00:00:00,-326.36,33.86,11049.38
STAY for 2 days,,,,
BUY,2017-06-19 00:00:00,323.73,34.13,-11049.38
HOLD for 5 days,,,,
SELL,2017-06-27 00:00:00,-323.73,33.52,10852.31
BUY,2017-06-28 00:00:00,319.07,34.01,-10852.31
HOLD for 6 days,,,,
SELL,2017-07-10 00:00:00,-319.07,33.83,10795.0
STAY for 29 days,,,,
BUY,2017-08-21 00:00:00,293.26,36.81,-10795.0
HOLD for 5 days,,,,
SELL,2017-08-29 00:00:00,-293.26,38.15,11186.4
STAY for 4 days,,,,
BUY,2017-09-06 00:00:00,295.07,37.91,-11186.4
HOLD for 9 days,,,,
SELL,2017-09-20 00:00:00,-295.07,36.54,10782.92
STAY for 3 days,,,,
BUY,2017-09-26 00:00:00,300.71,35.86,-10782.92
HOLD for 7 days,,,,
SELL,2017-10-06 00:00:00,-300.71,36.36,10935.01
STAY for 28 days,,,,
BUY,2017-11-16 00:00:00,271.97,40.21,-10935.01
HOLD for 20 days,,,,
SELL,2017-12-18 00:00:00,-271.97,41.46,11275.0
STAY for 4 days,,,,
BUY,2017-12-26 00:00:00,281.29,40.08,-11275.0
HOLD for 7 days,,,,
SELL,2018-01-08 00:00:00,-281.29,40.97,11524.87
STAY for 10 days,,,,
BUY,2018-01-24 00:00:00,281.5,40.94,-11524.87
HOLD for 6 days,,,,
SELL,2018-02-02 00:00:00,-281.5,37.72,10617.27
STAY for 5 days,,,,
BUY,2018-02-12 00:00:00,276.55,38.39,-10617.27
HOLD for 1 days,,,,
SELL,2018-02-14 00:00:00,-276.55,39.49,10921.35
STAY for 21 days,,,,
BUY,2018-03-19 00:00:00,264.04,41.36,-10921.35
HOLD for 3 days,,,,
SELL,2018-03-23 00:00:00,-264.04,38.92,10275.91
BUY,2018-03-26 00:00:00,252.08,40.77,-10275.91
HOLD for 3 days,,,,
SELL,2018-04-02 00:00:00,-252.08,39.33,9913.7
BUY,2018-04-03 00:00:00,249.52,39.73,-9913.7
HOLD for 4 days,,,,
SELL,2018-04-10 00:00:00,-249.52,40.88,10199.82
STAY for 7 days,,,,
BUY,2018-04-20 00:00:00,260.85,39.1,-10199.82
HOLD for 7 days,,,,
SELL,2018-05-02 00:00:00,-260.85,41.66,10867.63
STAY for 16 days,,,,
BUY,2018-05-25 00:00:00,243.3,44.67,-10867.63
HOLD for 6 days,,,,
SELL,2018-06-06 00:00:00,-243.3,45.95,11178.82
STAY for 1 days,,,,
BUY,2018-06-08 00:00:00,246.2,45.41,-11178.82
HOLD for 9 days,,,,
SELL,2018-06-22 00:00:00,-246.2,43.8,10783.45
STAY for 3 days,,,,
BUY,2018-06-28 00:00:00,245.43,43.94,-10783.45
HOLD for 5 days,,,,
SELL,2018-07-09 00:00:00,-245.43,45.14,11078.76
STAY for 14 days,,,,
BUY,2018-07-30 00:00:00,246.29,44.98,-11078.76
HOLD for 1 days,,,,
SELL,2018-08-01 00:00:00,-246.29,47.73,11754.88
STAY for 25 days,,,,
BUY,2018-09-07 00:00:00,223.47,52.6,-11754.88
HOLD for 16 days,,,,
SELL,2018-10-02 00:00:00,-223.47,54.5,12178.75
STAY for 3 days,,,,
BUY,2018-10-08 00:00:00,228.97,53.19,-12178.75
HOLD for 26 days,,,,
SELL,2018-11-14 00:00:00,-228.97,44.56,10202.12
BUY,2018-11-15 00:00:00,223.46,45.66,-10202.12
HOLD for 2 days,,,,
SELL,2018-11-20 00:00:00,-223.46,42.21,9433.01
STAY for 12 days,,,,
BUY,2018-12-11 00:00:00,234.53,40.22,-9433.01
SELL,2018-12-12 00:00:00,-234.53,40.33,9459.3
STAY for 97 days,,,,
BUY,2019-05-06 00:00:00,189.41,49.94,-9459.3
HOLD for 4 days,,,,
SELL,2019-05-13 00:00:00,-189.41,44.66,8459.07
BUY,2019-05-14 00:00:00,186.46,45.37,-8459.07
HOLD for 4 days,,,,
SELL,2019-05-21 00:00:00,-186.46,44.87,8366.71
STAY for 7 days,,,,
BUY,2019-06-03 00:00:00,200.77,41.67,-8366.71
HOLD for 2 days,,,,
SELL,2019-06-06 00:00:00,-200.77,44.54,8942.19
STAY for 27 days,,,,
BUY,2019-07-17 00:00:00,182.87,48.9,-8942.19
HOLD for 3 days,,,,
SELL,2019-07-23 00:00:00,-182.87,50.22,9183.6
STAY for 7 days,,,,
BUY,2019-08-02 00:00:00,187.19,49.06,-9183.6
HOLD for 10 days,,,,
SELL,2019-08-19 00:00:00,-187.19,50.77,9504.52
STAY for 5 days,,,,
BUY,2019-08-27 00:00:00,192.87,49.28,-9504.52
HOLD for 5 days,,,,
SELL,2019-09-05 00:00:00,-192.87,51.48,9929.09
STAY for 12 days,,,,
BUY,2019-09-24 00:00:00,188.97,52.54,-9929.09
HOLD for 8 days,,,,
SELL,2019-10-07 00:00:00,-188.97,54.81,10356.94
STAY for 31 days,,,,
BUY,2019-11-20 00:00:00,162.54,63.72,-10356.94
HOLD for 16 days,,,,
SELL,2019-12-16 00:00:00,-162.54,67.76,11012.93
STAY for 25 days,,,,
BUY,2020-01-24 00:00:00,142.91,77.06,-11012.93
HOLD for 20 days,,,,
SELL,2020-02-25 00:00:00,-142.91,69.91,9990.68
BUY,2020-02-26 00:00:00,140.67,71.02,-9990.68
SELL,2020-02-27 00:00:00,-140.67,66.38,9337.61
STAY for 1 days,,,,
BUY,2020-03-02 00:00:00,128.77,72.51,-9337.61
HOLD for 18 days,,,,
SELL,2020-03-27 00:00:00,-128.77,60.12,7741.71
STAY for 40 days,,,,
BUY,2020-05-27 00:00:00,100.01,77.41,-7741.71
HOLD for 7 days,,,,
SELL,2020-06-08 00:00:00,-100.01,81.14,8115.28
STAY for 14 days,,,,
