Action,Date,Number of Stocks,Price per Stock,Cash Flow
HOLD,2016-02-11 00:00:00,410.01,24.39,-0.0
HOLD,2016-02-12 00:00:00,-410.01,23.73,9729.24
HOLD,2016-02-16 00:00:00,401.03,24.26,-0.0
HOLD,2016-02-17 00:00:00,-401.03,26.59,10663.97
HOLD,2016-02-18 00:00:00,413.14,25.81,-0.0
HOLD,2016-02-19 00:00:00,-413.14,26.76,11055.63
HOLD,2016-02-22 00:00:00,412.08,26.83,-0.0
HOLD,2016-02-23 00:00:00,-412.08,25.65,10571.11
HOLD,2016-02-24 00:00:00,415.57,25.44,-0.0
HOLD,2016-02-25 00:00:00,-415.57,25.84,10738.34
HOLD,2016-02-26 00:00:00,399.75,26.86,-0.0
HOLD,2016-02-29 00:00:00,-399.75,27.52,11000.91
HOLD,2016-03-01 00:00:00,396.49,27.75,-0.0
HOLD,2016-03-02 00:00:00,-396.49,28.19,11176.04
HOLD,2016-03-03 00:00:00,351.39,31.81,-0.0
HOLD,2016-03-04 00:00:00,-351.39,32.68,11482.11
HOLD,2016-03-07 00:00:00,347.04,33.09,-0.0
HOLD,2016-03-08 00:00:00,-347.04,34.05,11815.84
HOLD,2016-03-09 00:00:00,328.99,35.92,-0.0
HOLD,2016-03-10 00:00:00,-328.99,33.92,11158.26
HOLD,2016-03-11 00:00:00,326.36,34.19,-0.0
HOLD,2016-03-14 00:00:00,-326.36,33.86,11049.41
HOLD,2016-03-15 00:00:00,323.73,34.13,-0.0
HOLD,2016-03-16 00:00:00,-323.73,33.52,10852.34
HOLD,2016-03-17 00:00:00,319.07,34.01,-0.0
HOLD,2016-03-18 00:00:00,-319.07,33.83,10795.03
HOLD,2016-03-21 00:00:00,293.26,36.81,-0.0
HOLD,2016-03-22 00:00:00,-293.26,38.15,11186.43
HOLD,2016-03-23 00:00:00,295.07,37.91,-0.0
HOLD,2016-03-24 00:00:00,-295.07,36.54,10782.94
HOLD,2016-03-28 00:00:00,300.71,35.86,-0.0
HOLD,2016-03-29 00:00:00,-300.71,36.36,10935.03
HOLD,2016-03-30 00:00:00,271.97,40.21,-0.0
HOLD,2016-03-31 00:00:00,-271.97,41.46,11275.03
HOLD,2016-04-01 00:00:00,281.29,40.08,-0.0
HOLD,2016-04-04 00:00:00,-281.29,40.97,11524.9
HOLD,2016-04-05 00:00:00,281.5,40.94,-0.0
HOLD,2016-04-06 00:00:00,-281.5,37.72,10617.3
HOLD,2016-04-07 00:00:00,276.55,38.39,0.0
HOLD,2016-04-08 00:00:00,-276.55,39.49,10921.38
HOLD,2016-04-11 00:00:00,264.04,41.36,-0.0
HOLD,2016-04-12 00:00:00,-264.04,38.92,10275.94
HOLD,2016-04-13 00:00:00,252.08,40.77,-0.0
HOLD,2016-04-14 00:00:00,-252.08,39.33,9913.72
HOLD,2016-04-15 00:00:00,249.52,39.73,-0.0
HOLD,2016-04-18 00:00:00,-249.52,40.88,10199.84
HOLD,2016-04-19 00:00:00,260.85,39.1,-0.0
HOLD,2016-04-20 00:00:00,-260.85,41.66,10867.65
HOLD,2016-04-21 00:00:00,243.3,44.67,-0.0
HOLD,2016-04-22 00:00:00,-243.3,45.95,11178.85
HOLD,2016-04-25 00:00:00,246.2,45.41,-0.0
HOLD,2016-04-26 00:00:00,-246.2,43.8,10783.48
HOLD,2016-04-27 00:00:00,245.43,43.94,-0.0
HOLD,2016-04-28 00:00:00,-245.43,45.14,11078.79
HOLD,2016-04-29 00:00:00,246.29,44.98,-0.0
HOLD,2016-05-02 00:00:00,-246.29,47.73,11754.91
HOLD,2016-05-03 00:00:00,223.47,52.6,-0.0
HOLD,2016-05-04 00:00:00,-223.47,54.5,12178.78
HOLD,2016-05-05 00:00:00,228.98,53.19,-0.0
HOLD,2016-05-06 00:00:00,-228.98,44.56,10202.15
HOLD,2016-05-09 00:00:00,223.46,45.66,-0.0
HOLD,2016-05-10 00:00:00,-223.46,42.21,9433.03
HOLD,2016-05-11 00:00:00,234.53,40.22,-0.0
HOLD,2016-05-12 00:00:00,-234.53,40.33,9459.32
HOLD,2016-05-13 00:00:00,189.41,49.94,-0.0
HOLD,2016-05-16 00:00:00,-189.41,44.66,8459.09
HOLD,2016-05-17 00:00:00,186.46,45.37,-0.0
HOLD,2016-05-18 00:00:00,-186.46,44.87,8366.72
HOLD,2016-05-19 00:00:00,200.77,41.67,-0.0
HOLD,2016-05-20 00:00:00,-200.77,44.54,8942.2
HOLD,2016-05-23 00:00:00,182.87,48.9,-0.0
HOLD,2016-05-24 00:00:00,-182.87,50.22,9183.62
HOLD,2016-05-25 00:00:00,187.19,49.06,-0.0
HOLD,2016-05-26 00:00:00,-187.19,50.77,9504.54
HOLD,2016-05-27 00:00:00,192.87,49.28,-0.0
HOLD,2016-05-31 00:00:00,-192.87,51.48,9929.11
HOLD,2016-06-01 00:00:00,188.97,52.54,-0.0
HOLD,2016-06-02 00:00:00,-188.97,54.81,10356.97
HOLD,2016-06-03 00:00:00,162.54,63.72,-0.0
HOLD,2016-06-06 00:00:00,-162.54,67.76,11012.96
HOLD,2016-06-07 00:00:00,142.91,77.06,-0.0
HOLD,2016-06-08 00:00:00,-142.91,69.91,9990.71
HOLD,2016-06-09 00:00:00,140.67,71.02,0.0
HOLD,2016-06-10 00:00:00,-140.67,66.38,9337.63
HOLD,2016-06-13 00:00:00,128.77,72.51,-0.0
HOLD,2016-06-14 00:00:00,-128.77,60.12,7741.72
HOLD,2016-06-15 00:00:00,100.01,77.41,-0.0
HOLD,2016-06-16 00:00:00,-100.01,81.14,8115.29
HOLD,2016-06-17 00:00:00,92.18,88.03,-0.0
HOLD,2016-06-20 00:00:00,-92.18,92.8,8554.73
HOLD,2016-06-21 00:00:00,91.24,93.76,-0.0
HOLD,2016-06-22 00:00:00,-91.24,95.74,8735.01
HOLD,2016-06-23 00:00:00,92.52,94.41,-0.0
HOLD,2016-06-24 00:00:00,-92.52,103.43,9568.89
HOLD,2016-06-27 00:00:00,81.18,117.87,-0.0
HOLD,2016-06-28 00:00:00,-81.18,109.03,8850.9
HOLD,2016-06-29 00:00:00,83.87,105.53,-0.0
HOLD,2016-06-30 00:00:00,-83.87,113.88,9551.81
HOLD,2016-07-01 00:00:00,83.82,113.96,-0.0
HOLD,2016-07-05 00:00:00,-83.82,106.15,8897.15
HOLD,2016-07-06 00:00:00,82.62,107.69,-0.0
HOLD,2016-07-07 00:00:00,-82.62,115.93,9578.27
HOLD,2016-07-08 00:00:00,86.13,111.21,-0.0
HOLD,2016-07-11 00:00:00,-86.13,119.87,10324.51
HOLD,2016-07-12 00:00:00,80.68,127.97,-0.0
HOLD,2016-07-13 00:00:00,-80.68,135.84,10959.7
HOLD,2016-07-14 00:00:00,83.65,131.03,-0.0
HOLD,2016-07-15 00:00:00,-83.65,130.29,10898.35
HOLD,2016-07-18 00:00:00,85.89,126.89,-0.0
HOLD,2016-07-19 00:00:00,-85.89,123.26,10586.63
HOLD,2016-07-20 00:00:00,84.69,125.01,-0.0
HOLD,2016-07-21 00:00:00,-84.69,122.4,10365.44
